chr	start	end
chr7	1998573	33577123
chrX	102233578	106282409
chr6	9798912	15993473
chr11	18720931	18801845
chrX	10257403	11479139
chr3	93311839	106255655
chr1	130392674	133980490
chr3	63538689	66317166
chrY	33850800	47092227
chr2	119965125	126438787
chr1	201214366	201814993
chr10	18223370	26050746
chr2	213824880	233441092
chr6	22951943	28729284
chr14	21135306	39790876
chr7	47359914	81520268
chr7	34853493	37181407
chr3	7155266	35782750
chr8	87042268	109256734
chr5	160854300	165640192
